flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
399,EWX,TPX,18-09-2022,61360,Brioche cheeseburger,B,2,0
1487,EWX,DEX,19-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
331,LAX,ORX,19-09-2022,60983,Zatar chicken,C,12,0
331,LAX,ORX,19-09-2022,61360,Brioche cheeseburger,B,2,0
2430,ORX,BOX,20-09-2022,58766,Gingerbread French Toast,FT,1,0
2196,ORX,IAX,22-09-2022,60987,Impossible Meatball Bowl,V,6,3
727,DEX,CMX,26-09-2022,60987,Impossible Meatball Bowl,V,6,5
2032,IAX,RNX,28-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1931,ORX,MIX,01-09-2022,61529,Zatar chicken,C,7,5
2133,DEX,SMX,03-09-2022,61530,Impossible Meatball Bowl,V,4,0
548,IAX,SFX,13-09-2022,58981,Scrambled eggs,O,9,0
1139,GUX,LAX,14-09-2022,58106,Savory breakfast entree,BR,6,0
1064,EWX,MEX,14-09-2022,58019,Belgium waffle,WF,6,0
1712,SEX,DEX,15-09-2022,58019,Belgium waffle,WF,8,0
2498,SEX,ORX,26-09-2022,60987,Impossible Meatball Bowl,V,18,12
468,BOX,DEX,04-09-2022,58981,Scrambled eggs,O,10,0
2164,ORX,LAX,05-09-2022,58019,Belgium waffle,WF,6,0
319,DEX,EUX,06-09-2022,61360,Brioche cheeseburger,B,2,0
1765,SFX,IAX,07-09-2022,58563,Tomato and kale baked egg,E,1,0
1252,IAX,SAX,09-09-2022,58764,Mediterranean Falafel Bowl,V,4,0
1508,DEX,SAX,11-09-2022,60549,Vegetarian chili and polenta cake,V,1,1
1687,SEX,IAX,14-09-2022,58019,Belgium waffle,WF,10,0
1561,SJX,EWX,15-09-2022,58109,Chicken breast entree,C,9,0
2319,LGX,DEX,17-09-2022,60987,Impossible Meatball Bowl,V,6,6
334,BOX,LAX,17-09-2022,60983,Zatar chicken,C,24,11
2324,ORX,MCX,18-09-2022,58766,Gingerbread French Toast,FT,2,1
2201,EWX,SAX,18-09-2022,52133,Gluten-free Meal,GF,2,1
1140,EWX,PBX,19-09-2022,60987,Impossible Meatball Bowl,V,10,9
1167,SAX,EWX,20-09-2022,53130,ASIAN VEGETARIAN MEAL,AV,2,0
1885,EWX,RSX,23-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1640,OGX,SFX,25-09-2022,60458,Crispy Hawaiian garlic tofu,V,6,0
1241,EWX,MIX,03-09-2022,61529,Zatar chicken,C,6,0
1458,MFX,DEX,05-09-2022,58090,Classic selection cheese tray,O,16,12
795,EWX,SAX,05-09-2022,58766,Gingerbread French Toast,FT,2,1
1121,DEX,JAX,09-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
331,LAX,ORX,10-09-2022,60987,Impossible Meatball Bowl,V,8,0
582,DEX,INX,10-09-2022,58563,Tomato and kale baked egg,E,2,0
727,DEX,CMX,10-09-2022,58981,Scrambled eggs,O,6,0
1055,EWX,CUX,11-09-2022,58563,Tomato and kale baked egg,E,1,0
2336,LAX,EWX,12-09-2022,50950,Butternut squash ravioli,P,10,0
2105,DCX,DEX,14-09-2022,60987,Impossible Meatball Bowl,V,12,8
1889,ORX,LAX,25-09-2022,58563,Tomato and kale baked egg,E,1,0
1019,IAX,CUX,28-09-2022,61360,Brioche cheeseburger,B,2,0
1730,DEX,EWX,30-09-2022,58563,Tomato and kale baked eggwhite pastry with fire ro,E,1,7
2262,FLX,IAX,30-09-2022,58019,Belgium waffle,WF,20,16
2391,ORX,ANX,03-09-2022,58981,Scrambled eggs,O,11,8
2484,ORX,PDX,04-09-2022,58766,Gingerbread French Toast,FT,1,0
1460,POX,IAX,13-09-2022,58110,Vegetarian entree,V,6,4
2319,LGX,DEX,01-09-2022,60987,Impossible Meatball Bowl,V,6,5
1749,IAX,JAX,03-09-2022,60987,Impossible Meatball Bowl,V,6,1
1099,DEX,CZX,03-09-2022,60987,Impossible Meatball Bowl,V,4,4
2471,RNX,DEX,03-09-2022,61529,Zatar chicken,C,7,0
1296,LAX,LIX,03-09-2022,57484,Tomato and kale baked egg,E,5,0
1756,EWX,IAX,04-09-2022,58981,Scrambled eggs,O,16,14
1737,DEX,OGX,12-09-2022,57751,Grilled chicken,C,12,12
1041,EWX,AUX,13-09-2022,58019,Belgium waffle,WF,7,5
268,BOX,DEX,03-09-2022,58981,Scrambled eggs,O,8,7
1937,EWX,DEX,03-09-2022,60987,Impossible Meatball Bowl,V,6,3
1859,IAX,AUX,06-09-2022,60987,Impossible Meatball Bowl,V,4,0
1083,LAX,EWX,01-09-2022,53014,Thai chicken,C,31,0
414,IAX,MCX,09-09-2022,58019,Belgium waffle,WF,6,0
231,DCX,IAX,10-09-2022,61524,Scrambled eggs,O,6,6
1877,IAX,EWX,10-09-2022,60549,Vegetarian chili and polenta cake,V,2,2
1195,ORX,SEX,12-09-2022,58019,Belgium waffle,WF,10,10
1422,DEX,SAX,15-09-2022,60987,Impossible Meatball Bowl,V,5,5
2123,EWX,PUX,16-09-2022,58981,Scrambled eggs,O,20,10
1416,DEX,IAX,18-09-2022,58019,Belgium waffle,WF,7,3
286,ORX,SNX,19-09-2022,58272,Horchata steel cut oatmeal,OM,4,0
1195,ORX,SEX,22-09-2022,58766,Gingerbread French Toast,FT,4,0
684,DEX,SFX,22-09-2022,60549,Vegetarian chili and polenta cake,V,8,4
2133,SMX,IAX,22-09-2022,60987,Impossible Meatball Bowl,V,6,0
2381,ORX,DEX,24-09-2022,60987,Impossible Meatball Bowl,V,7,7
483,BOX,ORX,26-09-2022,58981,Scrambled eggs,O,20,20
1439,EWX,DEX,27-09-2022,58981,Scrambled eggs,O,8,8
2679,ORX,SFX,27-09-2022,58981,Scrambled eggs,O,14,14
2201,EWX,SAX,27-09-2022,60983,Zatar chicken,C,6,0
1967,MSX,EWX,30-09-2022,60983,Zatar chicken,C,7,0
1097,IAX,SJX,01-09-2022,58019,Belgium waffle,WF,7,7
1288,FCX,ORX,02-09-2022,60987,Impossible Meatball Bowl,V,8,3
2679,ORX,SFX,03-09-2022,58981,Scrambled eggs,O,7,7
1741,ORX,RSX,04-09-2022,61524,Scrambled eggs,O,6,3
791,ORX,YVX,16-09-2022,60983,Zatar chicken,C,18,18
2277,IAX,LAX,16-09-2022,60983,Zatar chicken,C,10,10
2666,ORX,IAX,20-09-2022,61360,Brioche cheeseburger,B,2,0
2327,ORX,TPX,22-09-2022,58766,Gingerbread French Toast,FT,2,0
1250,EWX,PHX,22-09-2022,61360,Brioche cheeseburger,B,3,0
618,DEX,ORX,22-09-2022,60549,Vegetarian chili and polenta cake,V,1,1
2151,IAX,YYX,24-09-2022,58563,Tomato and kale baked egg,E,4,4
2615,LAX,EWX,26-09-2022,17222,Gluten-free Meal,GF,1,1
1242,LAX,DEX,29-09-2022,61360,Brioche cheeseburger,B,3,0
2050,SFX,ABX,03-09-2022,58574,Belgium waffle,WF,4,4
1780,EWX,RSX,05-09-2022,61360,Brioche cheeseburger,B,2,0
1257,RDX,DEX,06-09-2022,58981,Scrambled eggs,O,8,7
514,DEX,PHX,06-09-2022,61524,Scrambled eggs,O,6,0
2131,SMX,DEX,06-09-2022,60987,Impossible Meatball Bowl,V,8,0
1425,ORX,AUX,07-09-2022,61530,Impossible Meatball Bowl,V,4,3
2667,DEX,SNX,09-09-2022,58563,Tomato and kale baked egg,E,1,0
297,IAX,MSX,11-09-2022,61529,Zatar chicken,C,7,0
553,LAX,DEX,12-09-2022,60983,Zatar chicken,C,11,0
2495,IAX,EWX,15-09-2022,60987,Impossible Meatball Bowl,V,2,0
1199,ORX,CUX,19-09-2022,58019,Belgium waffle,WF,7,0
358,COX,ORX,19-09-2022,61530,Impossible Meatball Bowl,V,5,3
1241,RDX,DEX,20-09-2022,60987,Impossible Meatball Bowl,V,6,0
2415,DEX,SBX,21-09-2022,61360,Brioche cheeseburger,B,2,0
590,DEX,EUX,23-09-2022,61360,Brioche cheeseburger,B,1,0
601,EWX,LAX,05-09-2022,58019,Belgium waffle,WF,4,0
287,CLX,DEX,08-09-2022,60983,Zatar chicken,C,10,0
1549,IAX,DEX,10-09-2022,60983,Zatar chicken,C,6,4
2359,JAX,IAX,14-09-2022,58019,Belgium waffle,WF,6,3
2104,PDX,ORX,15-09-2022,60987,Impossible Meatball Bowl,V,8,3
462,DEX,IAX,16-09-2022,61360,Brioche cheeseburger,B,6,6
706,DCX,IAX,21-09-2022,60987,Impossible Meatball Bowl,V,5,1
1795,OGX,SFX,10-09-2022,53158,Vegetarian entree,VG,1,0
2109,EWX,SAX,12-09-2022,60983,Zatar chicken,C,22,7
1126,DEX,CUX,12-09-2022,60987,Impossible Meatball Bowl,V,8,7
413,SFX,MEX,16-09-2022,61360,Brioche cheeseburger,B,1,0
1591,EWX,IAX,18-09-2022,60983,Zatar chicken,C,9,3
1710,ORX,SAX,21-09-2022,58019,Belgium waffle,WF,6,0
2451,IAX,DEX,28-09-2022,58019,Belgium waffle,WF,8,6
2390,ORX,RSX,25-09-2022,61360,Brioche cheeseburger,B,2,0
585,PHX,EWX,29-09-2022,53130,ASIAN VEGETARIAN MEAL,AV,2,2
381,ORX,PDX,30-09-2022,60983,Zatar chicken,C,6,0
1628,SEX,IAX,30-09-2022,61529,Zatar chicken,C,7,7
2403,LGX,DEX,01-09-2022,61529,Zatar chicken,C,7,4
1190,SFX,SJX,02-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
749,ORX,SEX,04-09-2022,58019,Belgium waffle,WF,3,0
553,LAX,DEX,08-09-2022,61360,Brioche cheeseburger,B,3,3
655,AUX,IAX,08-09-2022,58090,Classic selection cheese tray,O,12,8
2153,SJX,DEX,08-09-2022,58110,Vegetarian entree,V,12,4
539,ORX,FCX,10-09-2022,58574,Belgium waffle,WF,4,2
639,MCX,ORX,13-09-2022,58981,Scrambled eggs,O,12,0
1836,EWX,MSX,13-09-2022,61530,Impossible Meatball Bowl,V,3,2
2243,ORX,SFX,01-09-2022,58981,Scrambled eggs,O,16,16
5773,TYX,DEX,05-09-2022,57994,Classic selection cheese tray,O,6,0
1436,SFX,IAX,07-09-2022,60987,Impossible Meatball Bowl,V,16,10
1577,EWX,TPX,08-09-2022,61360,Brioche cheeseburger,B,3,3
2088,DEX,IAX,08-09-2022,60983,Zatar chicken,C,17,15
2323,IAX,BWX,10-09-2022,61529,Zatar chicken,C,7,6
2059,IAX,IAX,12-09-2022,58019,Belgium waffle,WF,9,4
1772,SEX,ORX,13-09-2022,58981,Scrambled eggs,O,10,10
6093,IAX,DCX,13-09-2022,57994,Classic selection cheese tray,O,5,0
2331,PHX,EWX,14-09-2022,61529,Zatar chicken,C,7,5
1896,IAX,PHX,15-09-2022,58981,Scrambled eggs,O,14,7
1896,IAX,PHX,15-09-2022,58766,Gingerbread French Toast,FT,2,0
362,DEX,BOX,16-09-2022,58563,Tomato and kale baked egg,E,1,0
2267,LAX,EWX,23-09-2022,58981,Scrambled eggs,O,10,5
2682,DEX,SFX,24-09-2022,60987,Impossible Meatball Bowl,V,22,9
609,LAX,YVX,27-09-2022,60987,Impossible Meatball Bowl,V,12,6
727,DEX,CMX,27-09-2022,61360,Brioche cheeseburger,B,2,0
1692,CUX,DEX,07-09-2022,58109,Chicken breast entree,C,24,24
1814,IAX,LAX,08-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
2399,TPX,IAX,09-09-2022,60987,Impossible Meatball Bowl,V,6,2
1984,MSX,DEX,10-09-2022,61530,Impossible Meatball Bowl,V,5,2
308,SEX,EWX,13-09-2022,58981,Scrambled eggs,O,8,8
2185,MCX,EWX,13-09-2022,60987,Impossible Meatball Bowl,V,6,4
1669,IAX,CLX,14-09-2022,61360,Brioche cheeseburger,B,2,0
1744,IAX,CVX,18-09-2022,60987,Impossible Meatball Bowl,V,7,7
1889,ORX,LAX,26-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
1278,CUX,LAX,08-09-2022,58110,Vegetarian entree,V,8,0
1682,SFX,CMX,13-09-2022,60987,Impossible Meatball Bowl,V,5,5
312,BOX,LAX,14-09-2022,58981,Scrambled eggs,O,10,8
393,SFX,DEX,16-09-2022,61530,Impossible Meatball Bowl,V,4,0
548,IAX,SFX,16-09-2022,58981,Scrambled eggs,O,10,10
2605,EWX,SAX,13-09-2022,60987,Impossible Meatball Bowl,V,4,0
2677,ORX,LAX,14-09-2022,60549,Vegetarian chili and polenta cake,V,4,0
668,IAX,LAX,17-09-2022,58981,Scrambled eggs,O,8,6
469,LAX,EWX,19-09-2022,60983,Zatar chicken,C,12,8
1875,YVX,DEX,21-09-2022,61530,Impossible Meatball Bowl,V,5,5
2204,EWX,LAX,24-09-2022,54076,Cacio e Pepe ravioli,P,13,13
1627,MCX,ORX,25-09-2022,60987,Impossible Meatball Bowl,V,8,4
1893,DEX,BOX,27-09-2022,60983,Zatar chicken,C,8,7
2338,IAX,PHX,28-09-2022,60983,Zatar chicken,C,6,0
1488,IAX,SAX,29-09-2022,58019,Belgium waffle,WF,8,0
1445,SFX,IAX,30-09-2022,61360,Brioche cheeseburger,B,3,0
1546,DEX,LGX,19-09-2022,58574,Belgium waffle,WF,4,1
399,EWX,TPX,19-09-2022,61360,Brioche cheeseburger,B,1,0
1556,IAX,SEX,23-09-2022,58981,Scrambled eggs,O,16,7
2271,DEX,SMX,23-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1087,BOX,IAX,24-09-2022,60987,Impossible Meatball Bowl,V,16,2
1078,DEX,SEX,26-09-2022,58272,Horchata steel cut oatmeal,OM,2,1
1894,IAX,SFX,26-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1666,SFX,BOX,26-09-2022,60983,Zatar chicken,C,22,0
1107,DEX,INX,08-09-2022,60987,Impossible Meatball Bowl,V,6,0
2383,IAX,PHX,09-09-2022,60549,Vegetarian chili and polenta cake,V,1,1
1620,IAX,CUX,11-09-2022,58981,Scrambled eggs,O,8,0
1111,OGX,LAX,13-09-2022,60458,Crispy Hawaiian garlic tofu,V,6,0
2110,PIX,DEX,16-09-2022,58019,Belgium waffle,WF,20,0
1422,DEX,SAX,20-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1187,DFX,ORX,09-09-2022,61530,Impossible Meatball Bowl,V,5,4
791,ORX,YVX,18-09-2022,60987,Impossible Meatball Bowl,V,6,0
2290,ORX,PDX,23-09-2022,58766,Gingerbread French Toast,FT,2,1
2111,ORX,SMX,24-09-2022,60983,Zatar chicken,C,14,6
427,SLX,EWX,26-09-2022,61530,Impossible Meatball Bowl,V,5,0
1917,IAX,PTX,28-09-2022,58272,Horchata steel cut oatmeal,OM,2,1
2059,IAX,IAX,28-09-2022,58019,Belgium waffle,WF,7,7
1147,ORX,MBX,03-09-2022,58766,Gingerbread French Toast,FT,3,0
791,ORX,GEX,04-09-2022,61360,Brioche cheeseburger,B,5,0
1764,SFX,AUX,07-09-2022,58764,Mediterranean Falafel Bowl,V,2,2
592,SEX,EWX,14-09-2022,53130,ASIAN VEGETARIAN MEAL,AV,2,2
2655,BNX,SFX,26-09-2022,61529,Zatar chicken,C,7,7
1641,SFX,ORX,26-09-2022,60983,Zatar chicken,C,16,0
703,CLX,IAX,29-09-2022,60983,Zatar chicken,C,7,7
684,DEX,SFX,27-09-2022,60549,Vegetarian chili and polenta cake,V,3,0
1005,LAX,ITX,27-09-2022,53014,Thai chicken,C,9,5
621,STX,EWX,29-09-2022,60983,Zatar chicken,C,12,12
2615,LAX,EWX,30-09-2022,53014,Thai chicken,C,31,0
1893,DEX,BOX,30-09-2022,61360,Brioche cheeseburger,B,1,1
1587,DEX,LGX,14-09-2022,58766,Gingerbread French Toast,FT,2,0
2359,IAX,SAX,23-09-2022,58766,Gingerbread French Toast,FT,1,0
1889,ORX,LAX,14-09-2022,58981,Scrambled eggs,O,8,0
2627,SFX,IAX,20-09-2022,60987,Impossible Meatball Bowl,V,5,2
2308,DEX,LIX,21-09-2022,57751,Grilled chicken,C,6,6
1707,ITX,LAX,27-09-2022,58357,Thai chicken,C,14,5
2672,IAX,SAX,19-09-2022,61524,Scrambled eggs,O,7,7
2472,SAX,EWX,23-09-2022,58019,Belgium waffle,WF,8,0
1600,IAX,LAX,24-09-2022,60987,Impossible Meatball Bowl,V,6,0
327,IAX,SEX,27-09-2022,60987,Impossible Meatball Bowl,V,7,0
1549,IAX,DEX,28-09-2022,61360,Brioche cheeseburger,B,2,2
2489,SJX,DEX,28-09-2022,61529,Zatar chicken,C,7,5
2053,ORX,DFX,27-09-2022,58019,Belgium waffle,WF,14,4
5794,SJX,DEX,29-09-2022,57994,Classic selection cheese tray,O,6,2
2178,PDX,ORX,29-09-2022,60983,Zatar chicken,C,12,0
1597,DEX,ATX,30-09-2022,61360,Brioche cheeseburger,B,2,0
474,DEX,PDX,28-09-2022,61360,Brioche cheeseburger,B,2,0
2170,ORX,SFX,27-09-2022,60987,Impossible Meatball Bowl,V,19,0
1250,EWX,PHX,29-09-2022,60983,Zatar chicken,C,9,9
555,DEX,RNX,30-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
1497,FLX,EWX,23-09-2022,61529,Zatar chicken,C,7,4
348,DEX,SAX,24-09-2022,60983,Zatar chicken,C,3,0
1183,DEX,SMX,24-09-2022,60983,Zatar chicken,C,9,0
2651,LAX,HNX,30-09-2022,54759,Seared beef short rib,B,4,0
265,SAX,DEX,28-09-2022,61530,Impossible Meatball Bowl,V,5,0
2105,DCX,DEX,07-09-2022,60983,Zatar chicken,C,10,9
1546,DEX,LGX,02-09-2022,61524,Scrambled eggs,O,4,3
1744,IAX,CVX,07-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
1291,IAX,SAX,15-09-2022,60987,Impossible Meatball Bowl,V,7,0
5762,ORX,COX,14-09-2022,57994,Classic selection cheese tray,O,5,0
2441,ORX,AUX,27-09-2022,61360,Brioche cheeseburger,B,1,0
594,DEX,IAX,14-09-2022,60987,Impossible Meatball Bowl,V,6,5
2359,IAX,SAX,18-09-2022,58272,Horchata steel cut oatmeal,OM,1,1
412,DEX,LGX,28-09-2022,60987,Impossible Meatball Bowl,V,4,2
516,JFX,LAX,30-09-2022,54076,Cacio e Pepe ravioli,P,5,4
724,ORX,PHX,27-09-2022,60983,Zatar chicken,C,13,11
692,ORX,DEX,12-09-2022,58019,Belgium waffle,WF,12,10
5600,MKX,IAX,14-09-2022,57994,Classic selection cheese tray,O,12,0
793,LAX,EWX,14-09-2022,53014,Thai chicken,C,11,5
2308,DEX,LIX,29-09-2022,58676,Butternut squash schnitzel,V,5,0
2032,IAX,RNX,11-09-2022,61530,Impossible Meatball Bowl,V,2,2
1937,IAX,MSX,27-09-2022,61360,Brioche cheeseburger,B,5,0
1931,ORX,MIX,13-09-2022,61360,Brioche cheeseburger,B,2,0
2271,DEX,SMX,13-09-2022,60983,Zatar chicken,C,7,6
2441,ORX,AUX,08-09-2022,61529,Zatar chicken,C,5,3
1136,IAX,DCX,09-09-2022,61360,Brioche cheeseburger,B,4,0
1620,IAX,CUX,22-09-2022,58563,Tomato and kale baked egg,E,2,0
1418,DEX,RDX,03-09-2022,60983,Zatar chicken,C,11,0
2456,ORX,JAX,25-09-2022,61530,Impossible Meatball Bowl,V,4,3
377,AUX,IAX,23-09-2022,60987,Impossible Meatball Bowl,V,5,4
2631,SFX,PHX,18-09-2022,60987,Impossible Meatball Bowl,V,6,0
2621,EWX,PBX,28-09-2022,58981,Scrambled eggs,O,8,5
529,ORX,SFX,24-09-2022,60987,Impossible Meatball Bowl,V,12,0
2667,DEX,SNX,01-09-2022,58981,Scrambled eggs,O,7,7
2040,LAX,ORX,01-09-2022,58981,Scrambled eggs,O,10,5
2123,EWX,PUX,01-09-2022,58019,Belgium waffle,WF,9,7
1454,SFX,ORX,02-09-2022,61360,Brioche cheeseburger,B,5,0
795,EWX,SAX,03-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
1413,EWX,MIX,06-09-2022,60983,Zatar chicken,C,9,7
437,SFX,BWX,08-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
1567,IAX,MEX,10-09-2022,58764,Mediterranean Falafel Bowl,V,1,2
1023,DEX,PIX,13-09-2022,61360,Brioche cheeseburger,B,3,3
2127,EWX,MBX,13-09-2022,58981,Scrambled eggs,O,14,0
557,SFX,DEX,14-09-2022,60983,Zatar chicken,C,5,5
2433,DEX,GRX,14-09-2022,61360,Brioche cheeseburger,B,5,5
1517,LIX,IAX,14-09-2022,58109,Chicken breast entree,C,10,0
2122,IAX,SNX,19-09-2022,60983,Zatar chicken,C,14,12
1537,IAX,EWX,20-09-2022,58272,Horchata steel cut oatmeal,OM,2,2
2347,SFX,DFX,20-09-2022,61530,Impossible Meatball Bowl,V,5,3
1689,IAX,IAX,20-09-2022,61524,Scrambled eggs,O,5,4
301,SFX,HNX,01-09-2022,53014,Thai chicken,C,12,0
2031,DEX,CUX,02-09-2022,58766,Gingerbread French Toast,FT,4,2
1955,SFX,DCX,04-09-2022,58563,Tomato and kale baked egg,E,3,0
728,PTX,EWX,05-09-2022,53154,Vegetarian entree,VG,1,0
1009,BOX,SFX,05-09-2022,58981,Scrambled eggs,O,10,0
1446,IAX,LAX,07-09-2022,61530,Impossible Meatball Bowl,V,4,0
2046,DEX,TPX,10-09-2022,58563,Tomato and kale baked egg,E,3,3
1746,SFX,IAX,01-09-2022,58764,Mediterranean Falafel Bowl,FB,2,2
2231,ORX,DFX,03-09-2022,61360,Brioche cheeseburger,B,3,0
615,IAX,SMX,03-09-2022,58764,Mediterranean Falafel Bowl,V,2,1
547,SAX,IAX,01-09-2022,58019,Belgium waffle,WF,10,6
1196,IAX,IAX,03-09-2022,58764,Mediterranean Falafel Bowl,V,2,0
