,flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,score,arrival_delay_minutes,arrival_delay_group,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
318,1617,DEX,LAX,BEXX7P,2022-09-01,chicken entrée,-10,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B757-300,Mainline,75E,UA,862,Medium,B28,71B,Domestic,member,PANASONIC,hub departure
320,648,DEX,LAX,O1XXVB,2022-09-01,chicken entrée,-17,Early & Ontime,Business,Domestic,1,70+,non-elite,Gen X,B737-900,Mainline,37K,UA,862,Medium,B17,70A,Domestic,member,THALES,hub departure
322,3672,JAX,ORX,E0XXSV,2022-09-01,other (specify),13,Delayed,Business,Domestic,1,90+,non-elite,Gen X,ERJ-175,Express,E7F,UAX,865,Medium,A8,C1,Domestic,member,GOGO,spoke departure
325,500,ORX,BOX,JRXXJY,2022-09-01,other (specify),-15,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B737-900,Mainline,37K,UA,867,Medium,B2,B27,Domestic,member,THALES,hub departure
329,4655,DEX,MEX,NQXXNY,2022-09-01,other (specify),-8,Early & Ontime,Business,Domestic,2,90+,premier silver,Gen X,ERJ-175,Express,E75,UAX,872,Medium,A73,15,Domestic,member,GOGO,hub departure
331,585,DEX,ORX,J2XXB2,2022-09-01,sandwich/burger/wrap,-11,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B737-900,Mainline,37K,UA,888,Medium,B43,C9,Domestic,member,THALES,hub departure
332,452,DEX,ORX,E1XXP1,2022-09-01,other (specify),-12,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,888,Medium,A39,C10A,Domestic,member,THALES,hub departure
343,5602,DEX,RDX,N4XXFM,2022-09-01,chicken entrée,-2,Early & Ontime,Business,Domestic,2,90+,non-elite,Boomer,ERJ-175,Express,E7Q,UAX,899,Medium,B56,,Domestic,member,GOGO,hub departure
347,316,FLX,IAX,LGXXYZ,2022-09-01,beef entrée,7,Delayed,Business,Domestic,1,90+,premier gold,Boomer,B737-900,Mainline,37K,UA,901,Medium,C1,D12,Domestic,member,THALES,spoke departure
349,6021,IAX,MSX,DWXXEM,2022-09-01,other (specify),-28,Early & Ontime,Business,Domestic,1,90+,premier silver,Gen X,ERJ-175,Express,E7A,UAX,908,Medium,D2,E5,Domestic,member,GOGO,hub departure
352,6225,IAX,CLX,BRXXK9,2022-09-01,other (specify),-15,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,ERJ-175,Express,E7A,UAX,913,Medium,C31,A21,Domestic,member,GOGO,hub departure
357,612,ORX,IAX,EMXXCP,2022-09-01,chicken entrée,-16,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B737-900,Mainline,37K,UA,925,Medium,C24,E3,Domestic,member,THALES,hub departure
360,1228,ORX,IAX,ORXXRG,2022-09-01,beef entrée,-21,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,925,Medium,C10,C11,Domestic,member,VIASAT,hub departure
365,1900,IAX,ORX,GEXX5K,2022-09-01,vegetarian entrée,61,Delayed,Business,Domestic,1,90+,premier platinum,Gen X,B737-900,Mainline,37K,UA,925,Medium,E14,C26,Domestic,member,THALES,hub departure
372,398,EWX,MCX,C8XXKJ,2022-09-01,chicken entrée,-2,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,938,Medium,C103,41,Domestic,member,VIASAT,hub departure
377,438,DEX,SJX,G1XXFF,2022-09-01,vegetarian entrée,-16,Early & Ontime,Business,Domestic,1,80+,premier 1k,Gen X,B737-MAX9,Mainline,37X,UA,948,Medium,B7,14,Domestic,member,VIASAT,hub departure
382,2488,IAX,MSX,CWXX8W,2022-09-01,sandwich/burger/wrap,-8,Early & Ontime,Business,Domestic,1,80+,non-elite,Millennial,B737-700,Mainline,73G,UA,954,Medium,D20,C9,Domestic,member,THALES,hub departure
390,1632,DEX,MFX,JHXX60,2022-09-01,chicken entrée,10,Delayed,Business,Domestic,1,90+,non-elite,Silent,B737-800,Mainline,73Q,UA,964,Medium,B21,5,Domestic,member,THALES,hub departure
393,1570,IAX,BZX,ESXXDV,2022-09-01,chicken entrée,1,Delayed,Business,Latin,1,90+,premier 1k,Gen X,B737-800,Mainline,73Y,UA,965,Medium,C10,HOLD,International,member,THALES,hub departure
394,1300,SFX,DEX,N9XXC7,2022-09-01,vegetarian entrée,-9,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,A320-200,Mainline,20S,UA,967,Medium,F17,B41,Domestic,member,PANASONIC,hub departure
400,2369,SFX,DEX,JZXXPK,2022-09-01,chicken entrée,-14,Early & Ontime,Business,Domestic,2,90+,non-elite,Boomer,B737-800,Mainline,73Y,UA,967,Medium,F21,B18,Domestic,member,THALES,hub departure
401,2000,SFX,DEX,BSXXVJ,2022-09-01,chicken entrée,-7,Early & Ontime,Business,Domestic,3,90+,non-elite,Gen X,B757-300,Mainline,75E,UA,967,Medium,F21,B24,Domestic,member,PANASONIC,hub departure
402,234,DEX,SFX,P0XXBM,2022-09-01,sandwich/burger/wrap,-15,Early & Ontime,Business,Domestic,1,80+,non-elite,Millennial,B737-900,Mainline,37K,UA,967,Medium,B12,E5,Domestic,member,THALES,hub departure
406,1425,ORX,AUX,D3XXVR,2022-09-01,vegetarian entrée,36,Delayed,Business,Domestic,1,90+,non-elite,Gen X,A320-200,Mainline,20S,UA,978,Medium,C31,31,Domestic,member,PANASONIC,hub departure
411,1486,DEX,EUX,GJXX7D,2022-09-01,sandwich/burger/wrap,0,Early & Ontime,Business,Domestic,1,70+,premier silver,Silent,B737-800,Mainline,73Y,UA,997,Medium,B10,HOLD,Domestic,member,THALES,hub departure
416,2324,ORX,MCX,LEXXTW,2022-09-01,other (specify),-24,Early & Ontime,Business,Domestic,1,90+,premier silver,Gen X,B737-800,Mainline,73Y,UA,1005,Medium,B14,40,Domestic,member,THALES,hub departure
421,2668,MSX,EWX,PHXXN0,2022-09-01,other (specify),-9,Early & Ontime,Business,Domestic,2,90+,premier 1k,Gen X,B737-700,Mainline,73G,UA,1008,Medium,E9,C134,Domestic,member,THALES,spoke departure
427,1896,IAX,PHX,NEXXHB,2022-09-01,other (specify),-27,Early & Ontime,Business,Domestic,1,90+,premier gold,Boomer,B737-800,Mainline,73Y,UA,1009,Medium,C12,E7,Domestic,member,THALES,hub departure
431,408,TPX,ORX,L7XX9E,2022-09-01,other (specify),-16,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,1012,Medium,A9,C22,Domestic,member,THALES,spoke departure
432,2327,ORX,TPX,G5XXEM,2022-09-01,other (specify),-24,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,1012,Medium,C25,A6,Domestic,member,THALES,hub departure
434,4720,FCX,LAX,BMXXG7,2022-09-01,other (specify),-14,Early & Ontime,Business,Domestic,1,0 to 70,Non-Members,Boomer,CRJ-700,Express,CR7,UAX,1014,Medium,5,80,Domestic,non-member,GOGO,spoke departure
436,2210,PBX,EWX,G2XXN8,2022-09-01,chicken entrée,-14,Early & Ontime,Business,Domestic,1,90+,global services,Gen X,B737-800,Mainline,73Y,UA,1024,Medium,B6,C70,Domestic,member,THALES,spoke departure
441,2227,SRX,EWX,DTXXK6,2022-09-01,vegetarian entrée,-28,Early & Ontime,Business,Domestic,1,90+,Non-Members,Boomer,B737-700,Mainline,73G,UA,1034,Medium,B14,C95,Domestic,non-member,THALES,spoke departure
445,3708,SAX,ORX,LFXXCJ,2022-09-01,chicken entrée,12,Delayed,Business,Domestic,1,90+,premier platinum,Gen X,ERJ-170,Express,E7R,UAX,1041,Medium,B8,C6,Domestic,member,GOGO,spoke departure
451,1688,DEX,MSX,FPXXH4,2022-09-01,chicken entrée,-12,Early & Ontime,Business,Domestic,1,80+,non-elite,Gen X,A319-100,Mainline,19G,UA,1062,Medium,B37,C11,Domestic,member,PANASONIC,hub departure
452,2437,DEX,MSX,LBXXMQ,2022-09-01,other (specify),7,Delayed,Business,Domestic,1,90+,premier platinum,Gen X,A319-100,Mainline,19F,UA,1062,Medium,B15,C5,Domestic,member,PANASONIC,hub departure
457,712,EWX,FLX,GWXXVR,2022-09-01,chicken entrée,-16,Early & Ontime,Business,Domestic,1,90+,premier silver,Gen X,B737-800,Mainline,73Y,UA,1065,Medium,C101,C1,Domestic,member,THALES,hub departure
463,2448,RSX,EWX,D7XX9T,2022-09-01,other (specify),-22,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B737-MAX8,Mainline,37E,UA,1068,Medium,C5,C92,Domestic,member,VIASAT,spoke departure
467,2275,EWX,RSX,P1XX1E,2022-09-01,other (specify),-14,Early & Ontime,Business,Domestic,1,90+,premier gold,Boomer,B737-MAX8,Mainline,37E,UA,1068,Medium,C86,C5,Domestic,member,VIASAT,hub departure
469,1230,EWX,MIX,NEXXBG,2022-09-01,chicken entrée,-16,Early & Ontime,Business,Domestic,1,90+,premier 1k,Silent,B737-900,Mainline,37K,UA,1086,Medium,C73,H15,Domestic,member,THALES,hub departure
475,682,NAX,EWX,PKXX6T,2022-09-01,vegetarian entrée,-9,Early & Ontime,Business,Latin,1,80+,premier silver,Boomer,A320-200,Mainline,20S,UA,1096,Medium,C43,C94,International,member,PANASONIC,spoke departure
485,2086,IAX,PIX,EQXXL4,2022-09-01,chicken entrée,0,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX8,Mainline,37E,UA,1117,Medium,C36,A8,Domestic,member,VIASAT,hub departure
490,1501,DEX,CMX,GMXX0V,2022-09-01,sandwich/burger/wrap,142,Delayed,Economy Plus,Domestic,2,80+,premier 1k,Boomer,B737-900,Mainline,37K,UA,1155,Medium,B31,B32,Domestic,member,THALES,hub departure
492,5637,DEX,TYX,GTXX7T,2022-09-01,other (specify),5,Delayed,Business,Domestic,2,90+,premier 1k,Boomer,ERJ-175,Express,E7Q,UAX,1162,Medium,A79,7,Domestic,member,GOGO,hub departure
502,2611,IAX,IAX,MTXXZS,2022-09-01,beef entrée,-3,Early & Ontime,Business,Domestic,2,90+,premier 1k,Gen X,A320-200,Mainline,20S,UA,1190,Medium,C36,D8,Domestic,member,PANASONIC,hub departure
505,5700,SLX,IAX,ICXXHB,2022-09-01,other (specify),-19,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,ERJ-175,Express,E75,UAX,1195,Medium,B12,A8,Domestic,member,GOGO,spoke departure
508,406,DEX,CLX,HTXXZL,2022-09-01,other (specify),-16,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B737-800,Mainline,73Y,UA,1201,Medium,B16,C27,Domestic,member,THALES,hub departure
516,1574,IAX,LAX,ORXXEX,2022-09-01,chicken entrée,-13,Early & Ontime,Business,Domestic,1,90+,premier silver,Gen X,B737-MAX9,Mainline,37X,UA,1222,Medium,E17,D52,Domestic,member,VIASAT,hub departure
518,2300,LAX,IAX,J8XXVK,2022-09-01,other (specify),-3,Early & Ontime,Business,Domestic,1,80+,premier 1k,Gen X,B737-800,Mainline,73Y,UA,1222,Medium,D52,C45,Domestic,member,THALES,spoke departure
519,2145,LAX,IAX,PQXX3L,2022-09-01,chicken entrée,-11,Early & Ontime,Business,Domestic,1,0 to 70,non-elite,Boomer,A320-200,Mainline,20S,UA,1222,Medium,D52,E10,Domestic,member,PANASONIC,spoke departure
522,2138,ORX,SLX,HEXXVY,2022-09-01,other (specify),-25,Early & Ontime,Business,Domestic,1,80+,premier 1k,Millennial,B737-MAX9,Mainline,37X,UA,1249,Medium,B11,B12,Domestic,member,VIASAT,hub departure
531,1166,IAX,ONX,OPXXY4,2022-09-01,vegetarian entrée,24,Delayed,Business,Domestic,1,80+,premier silver,Boomer,B737-800,Mainline,73Q,UA,1334,Medium,C44,201,Domestic,member,THALES,hub departure
534,5614,DEX,CLX,AKXXSE,2022-09-01,other (specify),8,Delayed,Business,Domestic,1,90+,premier 1k,Silent,ERJ-175,Express,E75,UAX,1338,Medium,A87,A25,Domestic,member,GOGO,hub departure
538,1870,IAX,SAX,DGXXXZ,2022-09-01,sandwich/burger/wrap,2,Delayed,Business,Domestic,2,90+,premier silver,Boomer,A319-100,Mainline,19G,UA,1362,Medium,D16,B5,Domestic,member,VIASAT,hub departure
545,361,DFX,EWX,G5XX4S,2022-09-01,chicken entrée,60,Delayed,Business,Domestic,1,90+,non-elite,Gen X,B737-MAX8,Mainline,37E,UA,1372,Medium,E6,C105,Domestic,member,VIASAT,spoke departure
556,2107,IAX,EWX,P2XXWT,2022-09-01,vegetarian entrée,9,Delayed,Business,Domestic,2,90+,premier gold,Gen X,B737-900,Mainline,37K,UA,1400,Medium,E3,C112,Domestic,member,THALES,hub departure
564,236,IAX,LGX,DRXXT2,2022-09-01,other (specify),-15,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B737-800,Mainline,73Y,UA,1416,Medium,D1,44,Domestic,member,THALES,hub departure
569,1024,RDX,DEX,ABXX74,2022-09-01,chicken entrée,-21,Early & Ontime,Business,Domestic,2,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,1436,Medium,D20,B15,Domestic,member,THALES,spoke departure
572,1418,DEX,RDX,MSXX86,2022-09-01,sandwich/burger/wrap,27,Delayed,Business,Domestic,2,90+,global services,Boomer,B737-800,Mainline,73Y,UA,1436,Medium,B12,D20,Domestic,member,THALES,hub departure
577,1604,ORX,PHX,HYXXVL,2022-09-01,chicken entrée,-34,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,A320-200,Mainline,20S,UA,1440,Medium,C30,E7,Domestic,member,PANASONIC,hub departure
581,1199,ORX,CUX,ARXXBS,2022-09-01,chicken entrée,-3,Early & Ontime,Business,Latin,1,90+,non-elite,Millennial,B737-900,Mainline,37K,UA,1444,Medium,C15,35,International,member,VIASAT,hub departure
582,1773,IAX,DEX,HLXX6E,2022-09-01,chicken entrée,-20,Early & Ontime,Business,Domestic,1,90+,Non-Members,Boomer,B737-900,Mainline,37K,UA,1452,Medium,C17,B43,Domestic,non-member,THALES,hub departure
585,2075,IAX,DEX,D9XXFK,2022-09-01,chicken entrée,-18,Early & Ontime,Business,Domestic,1,90+,premier gold,Boomer,A320-200,Mainline,20S,UA,1452,Medium,C4,B37,Domestic,member,PANASONIC,hub departure
589,1841,DEX,IAX,BXXX9M,2022-09-01,other (specify),-11,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1452,Medium,B39,C17,Domestic,member,THALES,hub departure
594,826,NRX,SPX,AEXXCS,2022-09-01,other (specify),-17,Early & Ontime,Economy,Pacific,1,0 to 70,non-elite,Gen X,B737-800,Mainline,73U,UA,1459,Medium,35,6,International,member,THALES,spoke departure
595,2105,DCX,DEX,E5XXBJ,2022-09-01,chicken entrée,-6,Early & Ontime,Business,Domestic,1,90+,premier 1k,Silent,A320-200,Mainline,20S,UA,1476,Medium,B11,C34,Domestic,member,PANASONIC,spoke departure
599,2274,DEX,BWX,CMXXLC,2022-09-01,other (specify),-8,Early & Ontime,Business,Domestic,1,90+,premier platinum,Silent,B737-800,Mainline,73Y,UA,1491,Medium,B26,D16,Domestic,member,THALES,hub departure
603,2357,SFX,AUX,LCXXNY,2022-09-01,sandwich/burger/wrap,58,Delayed,Business,Domestic,2,90+,non-elite,Boomer,B737-800,Mainline,73Q,UA,1503,Medium,E6,25,Domestic,member,THALES,hub departure
604,659,AUX,EWX,NRXXWT,2022-09-01,chicken entrée,-22,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B737-900,Mainline,37K,UA,1504,Medium,31,C81,Domestic,member,THALES,spoke departure
607,244,DEX,TPX,BMXXFT,2022-09-01,chicken entrée,13,Delayed,Business,Domestic,2,90+,non-elite,Boomer,B737-800,Mainline,73Q,UA,1506,Medium,B18,A6,Domestic,member,THALES,hub departure
609,2620,TPX,DEX,B2XX3C,2022-09-01,chicken entrée,-23,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1506,Medium,A6,B42,Domestic,member,THALES,spoke departure
614,315,DEX,TPX,INXXT9,2022-09-01,beef entrée,21,Delayed,Business,Domestic,1,90+,premier silver,Boomer,A319-100,Mainline,19F,UA,1506,Medium,B47,A4,Domestic,member,PANASONIC,hub departure
615,315,DEX,TPX,NHXX5L,2022-09-01,chicken entrée,21,Delayed,Business,Domestic,1,90+,premier silver,Boomer,A319-100,Mainline,19F,UA,1506,Medium,B47,A4,Domestic,member,PANASONIC,hub departure
622,2480,ORX,LAX,J2XXVB,2022-09-01,vegetarian entrée,-24,Early & Ontime,Business,Domestic,1,90+,premier gold,Silent,B737-800,Mainline,73Y,UA,1515,Medium,C22,D57,Domestic,member,THALES,hub departure
626,260,DEX,MCX,PQXXPF,2022-09-01,other (specify),-11,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-800,Mainline,73Q,UA,1545,Medium,B9,40,Domestic,member,THALES,hub departure
630,260,DEX,MCX,O9XXFR,2022-09-01,chicken entrée,-11,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B737-800,Mainline,73Q,UA,1545,Medium,B9,40,Domestic,member,THALES,hub departure
631,1629,MBX,EWX,OWXX4Z,2022-09-01,other (specify),-6,Early & Ontime,Economy,Latin,2,90+,Non-Members,Gen X,B737-900,Mainline,37K,UA,1545,Medium,4,C133,International,non-member,THALES,spoke departure
641,686,DEX,ORX,B4XXQK,2022-09-01,sandwich/burger/wrap,1,Delayed,Business,Domestic,1,80+,non-elite,Gen X,B737-800,Mainline,73Y,UA,1552,Medium,C34,B28,Domestic,member,THALES,hub departure
643,464,PUX,EWX,FLXXTB,2022-09-01,chicken entrée,-25,Early & Ontime,Economy,Latin,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1563,Medium,14,B67,International,member,THALES,spoke departure
651,561,BOX,IAX,NEXXD8,2022-09-01,other (specify),-9,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1597,Medium,B27,C37,Domestic,member,THALES,spoke departure
654,592,DEX,EWX,HCXXD4,2022-09-01,chicken entrée,-16,Early & Ontime,Business,Domestic,2,90+,global services,Boomer,B737-900,Mainline,37K,UA,1605,Medium,B15,C80,Domestic,member,THALES,hub departure
661,2344,RSX,DEX,F1XXYK,2022-09-01,other (specify),5,Delayed,Business,Domestic,1,90+,non-elite,Boomer,A320-200,Mainline,20S,UA,1606,Medium,C5,B53,Domestic,member,PANASONIC,spoke departure
664,1544,EWX,SJX,E5XXXS,2022-09-01,chicken entrée,13,Delayed,Business,Latin,1,90+,premier 1k,Gen X,B737-900,Mainline,37K,UA,1608,Medium,C131,B6,International,member,THALES,hub departure
669,1851,IAX,SFX,D0XXBV,2022-09-01,other (specify),-19,Early & Ontime,Business,Domestic,2,90+,premier silver,Boomer,B737-900,Mainline,37K,UA,1635,Medium,E10,E7,Domestic,member,THALES,hub departure
677,746,FLX,DEX,MJXXHJ,2022-09-01,chicken entrée,-20,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B737-MAX9,Mainline,37X,UA,1703,Medium,C3,B24,Domestic,member,VIASAT,spoke departure
681,419,ORX,SNX,E6XXEP,2022-09-01,other (specify),-22,Early & Ontime,Business,Domestic,1,80+,non-elite,Boomer,A320-200,Mainline,20S,UA,1726,Medium,B3,10,Domestic,member,PANASONIC,hub departure
688,2621,ORX,SNX,DQXXVR,2022-09-01,other (specify),-16,Early & Ontime,Business,Domestic,1,70+,premier gold,Gen X,B737-800,Mainline,73Q,UA,1726,Medium,B5,9,Domestic,member,THALES,hub departure
689,2484,ORX,PDX,M0XXWD,2022-09-01,other (specify),-10,Early & Ontime,Business,Domestic,1,90+,premier 1k,Silent,B737-800,Mainline,73Q,UA,1739,Medium,C11,E5,Domestic,member,THALES,hub departure
694,2490,PDX,ORX,C0XXJD,2022-09-01,chicken entrée,-11,Early & Ontime,Business,Domestic,2,90+,Non-Members,Boomer,B737-900,Mainline,37K,UA,1739,Medium,E3,C28,Domestic,non-member,THALES,spoke departure
695,1694,PDX,ORX,OYXX89,2022-09-01,beef entrée,-21,Early & Ontime,Business,Domestic,2,90+,non-elite,Boomer,A320-200,Mainline,20S,UA,1739,Medium,E5,C29,Domestic,member,PANASONIC,spoke departure
704,1898,LAX,ORX,EMXX4T,2022-09-01,vegetarian entrée,-4,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,1745,Medium,72A,B10,Domestic,member,VIASAT,hub departure
710,268,BOX,DEX,MNXX45,2022-09-01,other (specify),-18,Early & Ontime,Business,Domestic,1,90+,global services,Boomer,B737-900,Mainline,37K,UA,1754,Medium,B31,B9,Domestic,member,THALES,spoke departure
714,1160,EUX,ORX,MTXX34,2022-09-01,chicken entrée,9,Delayed,Business,Domestic,1,70+,premier silver,Gen Z,A319-100,Mainline,19G,UA,1780,Medium,HOLD,C31,Domestic,member,PANASONIC,spoke departure
717,1852,PDX,IAX,E8XX15,2022-09-01,chicken entrée,14,Delayed,Business,Domestic,1,90+,non-elite,Gen X,B737-900,Mainline,73C,UA,1825,Medium,E3,C35,Domestic,member,THALES,spoke departure
724,2679,ORX,SFX,E7XXYX,2022-09-01,other (specify),-26,Early & Ontime,Business,Domestic,1,80+,non-elite,Gen X,B757-300,Mainline,75E,UA,1846,Medium,C21,F21,Domestic,member,PANASONIC,hub departure
726,2243,ORX,SFX,DZXXW8,2022-09-01,other (specify),140,Delayed,Business,Domestic,1,80+,premier platinum,Boomer,B777-200,Mainline,77O,UA,1846,Medium,C16,F13,Domestic,member,PANASONIC,hub departure
728,530,SEX,IAX,O4XXDJ,2022-09-01,other (specify),-31,Early & Ontime,Business,Domestic,1,80+,premier gold,Boomer,B737-900,Mainline,73C,UA,1874,Medium,A10,C12,Domestic,member,THALES,spoke departure
730,2345,SEX,IAX,I6XXE7,2022-09-01,chicken entrée,-1,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-800,Mainline,73Y,UA,1874,Medium,A8,C11,Domestic,member,THALES,spoke departure
741,2222,EWX,SLX,AFXXF1,2022-09-01,chicken entrée,-1,Early & Ontime,Business,Domestic,1,90+,premier 1k,Gen X,A320-200,Mainline,20S,UA,1968,Medium,C107,B12,Domestic,member,PANASONIC,hub departure
752,1277,LAX,CUX,HCXXED,2022-09-01,other (specify),4,Delayed,Business,Latin,1,90+,non-elite,Millennial,B737-900,Mainline,37K,UA,2119,Medium,76B,37,International,member,THALES,hub departure
761,1080,SJX,EWX,LLXXQ9,2022-09-01,sandwich/burger/wrap,-37,Early & Ontime,Business,Latin,1,90+,non-elite,Gen X,B737-800,Mainline,73Q,UA,2201,Medium,15,B54,International,member,THALES,spoke departure
765,2223,MCX,LAX,IWXXXY,2022-09-01,vegetarian entrée,1,Delayed,Business,Domestic,1,70+,non-elite,Boomer,B737-800,Mainline,73Y,UA,2217,Medium,48,83,Domestic,member,THALES,spoke departure
766,680,EWX,LAX,DCXX83,2022-09-01,other (specify),-35,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B737-800,Mainline,73Y,UA,2227,Medium,C86,D57,Domestic,member,THALES,hub departure
767,1298,LAX,EWX,LBXX71,2022-09-01,chicken entrée,-25,Early & Ontime,Business,Domestic,1,80+,premier silver,Boomer,B737-MAX8,Mainline,37E,UA,2227,Medium,D55,C107,Domestic,member,VIASAT,spoke departure
771,1219,EWX,LAX,MJXXSL,2022-09-01,chicken entrée,-21,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,A320-200,Mainline,20S,UA,2227,Medium,C94,D51,Domestic,member,PANASONIC,hub departure
781,2277,IAX,LAX,IWXXHS,2022-09-01,chicken entrée,-38,Early & Ontime,Business,Domestic,2,90+,premier silver,Boomer,B737-900,Mainline,37K,UA,2288,Medium,D4,84,Domestic,member,THALES,hub departure
